age_group,initial_grade,bbd_severity_label,technique,deflux_volume_ml,mean_forward_flow_ml_s,reflux_fraction,filling_reflux_fraction,voiding_reflux_fraction,obstruction_index,peak_pelvis_pa,severe_obstruction_any
12_18m,1,none,hit_plus_sting,0.25,0.03345910595551695,0.002095826958048542,0.0,0.061161476449952894,0.016666596736819722,713.8877197507588,0
12_18m,1,none,hit_plus_sting,0.3,0.025069708082856475,0.0016834479391271747,0.0,0.049972592390474205,0.07780723190330938,755.2007718476136,0
12_18m,1,none,hit_plus_sting,0.35,0.016567791913972476,0.0012560492311272878,0.0,0.03837000839148996,0.2157944758594908,798.037749516421,0
12_18m,1,none,hit_plus_sting,0.4,0.01654470343041092,0.0012577939536133624,0.0,0.03841799612660761,0.21637890046482983,798.1444263834403,0
12_18m,1,none,hit_plus_sting,0.45,0.016515354071252535,0.0012600185757850383,0.0,0.03847917387076102,0.21712416554110253,798.2799398165845,0
12_18m,1,none,hit_plus_sting,0.5,0.016478696023862854,0.001262807906976036,0.0,0.038555866504603076,0.21805875651604706,798.4490568463975,0
12_18m,1,none,hit_plus_sting,0.55,0.016434051038877392,0.0012662211642561164,0.0,0.03864969183035024,0.21920262123161277,798.6548075679552,0
12_18m,1,none,hit_plus_sting,0.6,0.016381355308496666,0.0012702729991602233,0.0,0.03876103940402041,0.22056081105340675,798.8973611960773,0
12_18m,1,none,hit_plus_sting,0.7,0.016255416891323825,0.0012800591049913952,0.0,0.0390298316437245,0.2238426351676751,799.475738670307,0
12_18m,1,none,hit_plus_sting,0.8,0.016114249042613178,0.0012912037942688736,0.0,0.03933571517057054,0.22758278383764835,800.2538097423765,0
12_18m,1,none,hit_plus_sting,1.0,0.01584601279462121,0.0013129156775069264,0.0,0.039933910034535,0.234902566040272,802.3371052505889,0
12_18m,1,none,hit_plus_sting,1.2,0.01562940056918568,0.0013310207098804698,0.0,0.040435638351073576,0.24103915320431174,804.0189981613166,0
12_18m,1,none,hit_plus_sting,1.5,0.015364985922842297,0.0013538155869264655,0.0,0.04106765495711739,0.24878838414927032,806.0718850014987,0
12_18m,1,none,hit_plus_sting,2.0,0.014978169889945577,0.0013885281409603423,0.0,0.042031219324837374,0.26064518571663997,809.075079741748,0
12_18m,1,none,double_hit_plus_sting,0.0,0.03649728109793099,0.07143440833330185,0.0,0.6686892626381312,0.0062500000000000186,710.9488378268593,0
12_18m,1,none,double_hit_plus_sting,0.05,0.036255460011641705,0.05599598084644174,0.0,0.6136929046287802,0.006418264110701296,709.1640448721184,0
